radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,268,6,8200,1950,0,-9.1239,38.773,500,36,1,1409672587,1730858462,0
GSM,268,6,8200,6418,0,-9.1234,38.7802,552,26,1,1409676250,1730858461,0
GSM,268,3,2010,12222,0,-9.2715,38.7127,12739,50,1,1411105390,1727019543,0
GSM,268,6,8260,5557,0,-9.2868,38.7496,1246,20,1,1411105954,1727106785,0
GSM,268,6,8260,6560,0,-9.2814,38.7485,801,29,1,1411105954,1727422506,0
GSM,268,6,8260,5931,0,-9.2764,38.7479,1000,23,1,1411105954,1727422504,0
GSM,268,3,1010,7443,0,-9.2813,38.7472,12826,23,1,1411105954,1753021983,0
GSM,268,6,8260,5929,0,-9.2655,38.7484,1673,33,1,1411105954,1727422502,0
GSM,268,3,2010,6941,0,-9.3726,38.785,6581,48,1,1411108535,1727085606,0
GSM,268,3,2010,18022,0,-9.3773,38.7903,500,50,1,1411108535,1727085490,0
GSM,268,3,1010,2322,0,-9.2058,38.7208,842,49,1,1411116236,1730660643,0
GSM,268,6,8140,1497,0,-8.6891,38.0184,1139,18,1,1411124110,1754345283,0
GSM,268,6,8140,1449,0,-8.801,37.9982,9611,19,1,1411124620,1754289062,0
GSM,268,6,8140,12087,0,-8.504,38.1827,1940,35,1,1411139534,1731496382,0
GSM,268,6,8140,8437,0,-8.5188,38.2607,4139,27,1,1411139534,1731496381,0
GSM,268,6,8220,1681,0,-9.1874,38.7504,645,32,1,1411144184,1733709182,0
GSM,268,3,2010,19821,0,-9.28,38.7147,12029,50,1,1411184826,1727018763,0
GSM,268,3,2010,16221,0,-9.2742,38.7278,1536,50,1,1411186779,1753021862,0
GSM,268,3,1010,10323,0,-9.2946,38.7729,612,50,1,1411205583,1730659742,0
GSM,268,3,6010,1612,0,-9.1706,38.7192,500,49,1,1411207170,1727320442,0
GSM,268,3,6010,1513,0,-9.175,38.7201,500,50,1,1411207170,1727796962,0
GSM,268,3,6010,10363,0,-9.1659,38.7208,2119,15,1,1411207170,1727664002,0
GSM,268,3,6010,1512,0,-9.1699,38.7147,500,117,1,1411207415,1726235289,0
GSM,268,3,6010,1411,0,-9.1689,38.714,1557,31,1,1411207415,1727663822,0
GSM,268,3,3010,27641,0,-8.9078,38.5796,2131,11,1,1411210590,1729577702,0
GSM,268,3,3510,21942,0,-7.2477,38.8801,1725,50,1,1411270789,1746555411,0
GSM,268,3,3510,25942,0,-7.1174,38.9609,14588,25,1,1411270789,1741687082,0
GSM,268,6,8210,1763,0,-9.1686,38.7347,500,32,1,1411691850,1727458023,0
GSM,268,3,6010,2313,0,-9.1478,38.7409,1000,24,1,1412088643,1727744282,0
GSM,268,3,6010,5413,0,-9.1518,38.7533,500,46,1,1412088927,1727398502,0
GSM,268,3,6010,2311,0,-9.1481,38.7413,500,43,1,1412147365,1727891291,0
GSM,268,3,6010,10662,0,-9.1485,38.7283,500,33,1,1412147364,1728466205,0
GSM,268,3,6010,12911,0,-9.1495,38.7478,686,27,1,1412704673,1727800142,0
GSM,268,3,6010,9711,0,-9.1406,38.7466,500,32,1,1412808931,1727830801,0
GSM,268,3,6010,3011,0,-9.1576,38.7426,500,36,1,1412822808,1727833623,0
LTE,268,6,48200,266527,0,-9.1243,38.7731,1794,32,1,1412845656,1757746494,0
LTE,268,6,48220,267553,0,-9.1895,38.7486,3323,11,1,1412959779,1758838083,0
GSM,268,3,6010,7813,0,-9.1395,38.744,502,34,1,1412971229,1727830742,0
